KMNE-TV     |-         |DT |7   |ND  |                    |2  |-  |LIC    |BASSETT                  |NE |US |BLEDT  -20090225ABN |27.    kW |-         |453.0   |-       |47981      |N |42 |20 |5.00  |W |99  |29 |2.00  |NEBRASKA EDUCATIONAL TELECOMMUNICATIONS COMMISSION                          |   0.00 km |   0.00 mi |  0.00 deg |1219.5 m|H       |87590     |-       |1029930 |449.    |1297475   |
KRNV-DT     |-         |DT |7   |ND  |                    |2  |-  |LIC    |RENO                     |NV |US |BLCDT  -20040622ABF |16.1   kW |-         |879.0   |-       |60307      |N |39 |18 |57.00 |W |119 |53 |2.00  |SIERRA COMMUNICATIONS COMPANY                                               |   0.00 km |   0.00 mi |  0.00 deg |2969.  m|H       |42499     |-       |-       |56.     |999794    |
KLAS-TV     |-         |DT |7   |ND  |                    |2  |-  |LIC    |LAS VEGAS                |NV |US |BLCDT  -20041202ACC |30.1   kW |-         |609.1   |-       |35042      |N |35 |56 |44.00 |W |115 |2  |33.00 |KLAS, LLC                                                                   |   0.00 km |   0.00 mi |  0.00 deg |1391.7 m|H       |43229     |-       |1010825 |70.4    |1032875   |
KOAT-TV     |-         |DT |7   |DA  |                    |2  |-  |LIC    |ALBUQUERQUE              |NM |US |BLCDT  -20090617ABU |26.5   kW |-         |1292.0  |-       |53928      |N |35 |12 |53.00 |W |106 |27 |1.00  |KOAT HEARST TELEVISION INC.                                                 |   0.00 km |   0.00 mi |  0.00 deg |3300.  m|H       |85431     |0.      |1056647 |71.     |1316048   |
WXXA-TV     |-         |DT |7   |ND  |                    |1  |-  |LIC    |ALBANY                   |NY |US |BLCDT  -20051222AAQ |10.    kW |-         |434.0   |-       |11970      |N |42 |37 |31.00 |W |74  |0  |38.00 |NEWPORT TELEVISION LICENSE LLC                                              |   0.00 km |   0.00 mi |  0.00 deg |692.   m|H       |66397     |-       |1231728 |149.    |1105265   |
WBNG-TV     |-         |DT |7   |ND  |                    |1  |-  |LIC    |BINGHAMTON               |NY |US |BLCDT  -20060329ACH |20.4   kW |-         |342.0   |-       |23337      |N |42 |3  |31.00 |W |75  |57 |6.00  |WBNG LICENSE, INC.                                                          |   0.00 km |   0.00 mi |  0.00 deg |739.2  m|H       |41378     |-       |1016566 |201.2   |1132567   |
WWNY-TV     |-         |DT |7   |ND  |                    |2  |-  |LIC    |CARTHAGE                 |NY |US |BLCDT  -20090622AGM |24.9   kW |-         |219.0   |-       |68851      |N |43 |57 |15.00 |W |75  |43 |45.00 |UNITED COMMUNICATIONS CORPORATION                                           |   0.00 km |   0.00 mi |  0.00 deg |498.1  m|H       |87787     |-       |1016048 |164.    |1317570   |
KQCD-TV     |-         |DT |7   |ND  |                    |2  |-  |LIC    |DICKINSON                |ND |US |BLCDT  -20090223ABH |11.3   kW |-         |205.0   |-       |41430      |N |46 |56 |53.00 |W |102 |59 |25.00 |HOAK MEDIA OF DAKOTA LICENSE, LLC                                           |   0.00 km |   0.00 mi |  0.00 deg |993.1  m|H       |85108     |-       |1050833 |179.    |1281007   |
KJRR        |-         |DT |7   |ND  |                    |2  |-  |LIC    |JAMESTOWN                |ND |US |BLCDT  -20090622AEP |21.3   kW |-         |135.0   |-       |55364      |N |46 |55 |27.00 |W |98  |46 |19.00 |RED RIVER BROADCAST CO., LLC                                                |   0.00 km |   0.00 mi |  0.00 deg |592.6  m|H       |87413     |-       |1048883 |137.    |1315259   |
KOCO-TV     |-         |DT |7   |DA  |                    |2  |-  |LIC    |OKLAHOMA CITY            |OK |US |BLCDT  -20080611ABT |47.    kW |-         |370.0   |-       |12508      |N |35 |33 |45.00 |W |97  |29 |24.00 |OHIO/OKLAHOMA HEARST                                                        |   0.00 km |   0.00 mi |  0.00 deg |721.   m|H       |84739     |0.      |1009951 |366.    |1248614   |
KOAC-TV     |-         |DT |7   |ND  |                    |2  |-  |LIC    |CORVALLIS                |OR |US |BLEDT  -20090619AAE |18.1   kW |-         |357.0   |-       |50590      |N |44 |38 |25.00 |W |123 |16 |25.00 |OREGON PUBLIC BROADCASTING                                                  |   0.00 km |   0.00 mi |  0.00 deg |514.   m|H       |84736     |-       |1035110 |75.     |1318218   |
WITV        |-         |DT |7   |DA  |                    |2  |-  |LIC    |CHARLESTON               |SC |US |BLEDT  -20090304ABI |20.    kW |-         |561.9   |-       |61005      |N |32 |55 |28.00 |W |79  |41 |58.00 |SOUTH CAROLINA EDUCATIONAL TV COMMISSION                                    |   0.00 km |   0.00 mi |  0.00 deg |564.9  m|C       |86993     |0.      |1051231 |560.    |1297460   |
KTTW        |-         |DT |7   |DA  |                    |2  |-  |LIC    |SIOUX FALLS              |SD |US |BLCDT  -20081104AGG |7.5    kW |-         |217.6   |-       |28521      |N |43 |30 |19.00 |W |96  |34 |19.00 |INDEPENDENT COMMUNICATIONS, INC.                                            |   0.00 km |   0.00 mi |  0.00 deg |645.9  m|H       |84679     |280.    |1206712 |233.8   |1275636   |
WMAK        |-         |DT |7   |DA  |                    |2  |-  |LIC    |KNOXVILLE                |TN |US |BLCDT  -20040810ABE |55.    kW |-         |382.0   |-       |83931      |N |36 |0  |36.00 |W |83  |55 |57.00 |WORD OF GOD FELLOWSHIP, INC.                                                |   0.00 km |   0.00 mi |  0.00 deg |693.   m|H       |66337     |0.      |1043696 |310.    |1006469   |
KVII-TV     |-         |DT |7   |ND  |                    |2  |-  |LIC    |AMARILLO                 |TX |US |BLCDT  -20090612AHC |21.9   kW |-         |519.0   |-       |40446      |N |35 |22 |30.00 |W |101 |52 |56.00 |BARRINGTON AMARILLO LICENSE LLC                                             |   0.00 km |   0.00 mi |  0.00 deg |1525.  m|H       |85613     |-       |1054167 |482.    |1317308   |
KOSA-TV     |-         |DT |7   |ND  |                    |2  |-  |LIC    |ODESSA                   |TX |US |BLCDT  -20090622ACL |48.    kW |-         |226.0   |-       |6865       |N |31 |51 |50.00 |W |102 |34 |41.00 |ICA BROADCASTING I, LTD.                                                    |   0.00 km |   0.00 mi |  0.00 deg |1164.4 m|E       |87829     |-       |1233693 |208.8   |1317639   |
KLTV        |-         |DT |7   |ND  |                    |2  |-  |LIC    |TYLER                    |TX |US |BLCDT  -20090622AAT |66.    kW |-         |300.0   |-       |68540      |N |32 |32 |23.00 |W |95  |13 |11.00 |KLTV/KTRE LICENSE SUBSIDIARY, LLC                                           |   0.00 km |   0.00 mi |  0.00 deg |420.5  m|H       |92820     |-       |1052125 |313.8   |1318596   |
WTPC-TV     |-         |DT |7   |DA  |                    |1  |-  |LIC    |VIRGINIA BEACH           |VA |US |BLCDT  -20090615ADP |85.    kW |-         |310.0   |-       |82574      |N |36 |48 |31.00 |W |76  |30 |12.00 |TRINITY CHRISTIAN CENTER OF SANTA ANA, INC.                                 |   0.00 km |   0.00 mi |  0.00 deg |316.   m|H       |89122     |0.      |1057874 |309.    |1314716   |
KSPS-TV     |-         |DT |7   |ND  |                    |2  |-  |LIC    |SPOKANE                  |WA |US |BLEDT  -20091117ACV |45.1   kW |-         |558.0   |-       |61956      |N |47 |34 |34.00 |W |117 |17 |58.00 |SPOKANE SCHOOL DISTRICT #81                                                 |   0.00 km |   0.00 mi |  0.00 deg |1267.7 m|H       |93468     |-       |1042236 |161.7   |1340831   |
